temperature_C,phase_shift_rad
26.95,0.0195
27.0,0.02
27.05,0.0205
27.1,0.021
27.15,0.0215
27.2,0.022
27.25,0.0225
27.3,0.023
27.35,0.0235
27.4,0.024
27.45,0.0245
27.5,0.025
27.55,0.0255
27.6,0.026
27.65,0.0265
27.7,0.027
27.75,0.0275
27.8,0.028
27.85,0.0285
27.9,0.029
27.95,0.0295
28.0,0.03
28.05,0.0305
28.1,0.031
28.15,0.0315
28.2,0.032
28.25,0.0325
28.3,0.033
28.35,0.0335
28.4,0.034
28.45,0.0345
28.5,0.035
28.55,0.0355
28.6,0.036
28.65,0.0365
28.7,0.037
28.75,0.0375
28.8,0.038
28.85,0.0385
28.9,0.039
28.95,0.0395
29.0,0.04
29.05,0.0405
29.1,0.041
29.15,0.0415
29.2,0.042
29.25,0.0425
29.3,0.043
29.35,0.0435
29.4,0.044
29.45,0.0445
29.5,0.045
29.55,0.0455
29.6,0.046
29.65,0.0465
29.7,0.047
29.75,0.0475
29.8,0.048
29.85,0.0485
29.9,0.049
29.95,0.0495
30.0,0.05
30.05,0.0505
30.1,0.051
30.15,0.0515
30.2,0.052
30.25,0.0525
30.3,0.053
30.35,0.0535
30.4,0.054
30.45,0.0545
30.5,0.055
30.55,0.0555
30.6,0.056
30.65,0.0565
30.7,0.057
30.75,0.0575
30.8,0.058
30.85,0.0585
30.9,0.059
30.95,0.0595
31.0,0.06
31.05,0.0605
31.1,0.061
31.15,0.0615
31.2,0.062
31.25,0.0625
31.3,0.063
31.35,0.0635
31.4,0.064
31.45,0.0645
31.5,0.065
31.55,0.0655
31.6,0.066
31.65,0.0665
31.7,0.067
31.75,0.0675
31.8,0.068
31.85,0.0685
31.9,0.069
31.95,0.0695
32.0,0.07
32.05,0.0705
32.1,0.071
32.15,0.0715
32.2,0.072
32.25,0.0725
32.3,0.073
32.35,0.0735
32.4,0.074
32.45,0.0745
32.5,0.075
32.55,0.0755
32.6,0.076
32.65,0.0765
32.7,0.077
32.75,0.0775
32.8,0.078
32.85,0.0785
32.9,0.079
32.95,0.0795
33.0,0.08
33.05,0.0805
33.1,0.081
33.15,0.0815
33.2,0.082
33.25,0.0825
33.3,0.083
33.35,0.0835
33.4,0.084
33.45,0.0845
33.5,0.085
33.55,0.0855
33.6,0.086
33.65,0.0865
33.7,0.087
33.75,0.0875
33.8,0.088
33.85,0.0885
33.9,0.089
33.95,0.0895
34.0,0.09
34.05,0.0905
34.1,0.091
34.15,0.0915
34.2,0.092
34.25,0.0925
34.3,0.093
34.35,0.0935
34.4,0.094
34.45,0.0945
34.5,0.095
34.55,0.0955
34.6,0.096
34.65,0.0965
34.7,0.097
34.75,0.0975
34.8,0.098
34.85,0.0985
34.9,0.099
34.95,0.0995
35.0,0.1
35.05,0.1005
35.1,0.101
35.15,0.1015
35.2,0.102
35.25,0.1025
35.3,0.103
35.35,0.1035
35.4,0.104
35.45,0.1045
35.5,0.105
35.55,0.1055
35.6,0.106
35.65,0.1065
35.7,0.107
35.75,0.1075
35.8,0.108
35.85,0.1085
35.9,0.109
35.95,0.1095
36.0,0.11
36.05,0.1105
36.1,0.111
36.15,0.1115
36.2,0.112
36.25,0.1125
36.3,0.113
36.35,0.1135
36.4,0.114
36.45,0.1145
36.5,0.115
36.55,0.1155
36.6,0.116
36.65,0.1165
36.7,0.117
36.75,0.1175
36.8,0.118
36.85,0.1185
36.9,0.119
36.95,0.1195
37.0,0.12
37.05,0.1205
37.1,0.121
37.15,0.1215
37.2,0.122
37.25,0.1225
37.3,0.123
37.35,0.1235
37.4,0.124
37.45,0.1245
37.5,0.125
37.55,0.1255
37.6,0.126
37.65,0.1265
37.7,0.127
37.75,0.1275
37.8,0.128
37.85,0.1285
37.9,0.129
37.95,0.1295
38.0,0.13
38.05,0.1305
38.1,0.131
38.15,0.1315
38.2,0.132
38.25,0.1325
38.3,0.133
38.35,0.1335
38.4,0.134
38.45,0.1345
38.5,0.135
38.55,0.1355
38.6,0.136
38.65,0.1365
38.7,0.137
38.75,0.1375
38.8,0.138
38.85,0.1385
38.9,0.139
38.95,0.1395
39.0,0.14
39.05,0.1405
39.1,0.141
39.15,0.1415
39.2,0.142
39.25,0.1425
39.3,0.143
39.35,0.1435
39.4,0.144
39.45,0.1445
39.5,0.145
39.55,0.1455
39.6,0.146
39.65,0.1465
39.7,0.147
39.75,0.1475
39.8,0.148
39.85,0.1485
39.9,0.149
39.95,0.1495
40.0,0.15
40.05,0.1505
40.1,0.151
40.15,0.1515
40.2,0.152
40.25,0.1525
40.3,0.153
40.35,0.1535
40.4,0.154
40.45,0.1545
40.5,0.155
40.55,0.1555
40.6,0.156
40.65,0.1565
40.7,0.157
40.75,0.1575
40.8,0.158
40.85,0.1585
40.9,0.159
40.95,0.1595
41.0,0.16
41.05,0.1605
41.1,0.161
41.15,0.1615
41.2,0.162
41.25,0.1625
41.3,0.163
41.35,0.1635
41.4,0.164
41.45,0.1645
41.5,0.165
41.55,0.1655
41.6,0.166
41.65,0.1665
41.7,0.167
41.75,0.1675
41.8,0.168
41.85,0.1685
41.9,0.169
41.95,0.1695
42.0,0.17
42.05,0.1705
