phase_rad,port0_transmission,port1_transmission
0.22116812,0.98782093,0.01217907
0.22242476,0.98768271,0.01231729
0.2236814,0.98754372,0.01245628
0.22493803,0.98740397,0.01259603
0.22619467,0.98726344,0.01273656
0.22745131,0.98712214,0.01287786
0.22870795,0.98698007,0.01301993
0.22996458,0.98683723,0.01316277
0.23122122,0.98669363,0.01330637
0.23247786,0.98654926,0.01345074
0.23373449,0.98640411,0.01359589
0.23499113,0.9862582,0.0137418
0.23624777,0.98611153,0.01388847
0.2375044,0.98596408,0.01403592
0.23876104,0.98581587,0.01418413
0.24001768,0.98566689,0.01433311
0.24127432,0.98551714,0.01448286
0.24253095,0.98536663,0.01463337
0.24378759,0.98521534,0.01478466
0.24504423,0.9850633,0.0149367
0.24630086,0.98491049,0.01508951
0.2475575,0.98475691,0.01524309
0.24881414,0.98460256,0.01539744
0.25007078,0.98444745,0.01555255
0.25132741,0.98429158,0.01570842
0.25258405,0.98413494,0.01586506
0.25384069,0.98397754,0.01602246
0.25509732,0.98381937,0.01618063
0.25635396,0.98366044,0.01633956
0.2576106,0.98350074,0.01649926
0.25886723,0.98334028,0.01665972
0.26012387,0.98317906,0.01682094
0.26138051,0.98301708,0.01698292
0.26263715,0.98285433,0.01714567
0.26389378,0.98269082,0.01730918
0.26515042,0.98252655,0.01747345
0.26640706,0.98236151,0.01763849
0.26766369,0.98219572,0.01780428
0.26892033,0.98202916,0.01797084
0.27017697,0.98186184,0.01813816
0.27143361,0.98169376,0.01830624
0.27269024,0.98152492,0.01847508
0.27394688,0.98135532,0.01864468
0.27520352,0.98118496,0.01881504
0.27646015,0.98101384,0.01898616
0.27771679,0.98084196,0.01915804
0.27897343,0.98066932,0.01933068
0.28023006,0.98049592,0.01950408
0.2814867,0.98032176,0.01967824
0.28274334,0.98014684,0.01985316
0.28399998,0.97997117,0.02002883
0.28525661,0.97979474,0.02020526
0.28651325,0.97961755,0.02038245
0.28776989,0.9794396,0.0205604
0.28902652,0.97926089,0.02073911
0.29028316,0.97908143,0.02091857
0.2915398,0.97890122,0.02109878
0.29279644,0.97872024,0.02127976
0.29405307,0.97853851,0.02146149
0.29530971,0.97835603,0.02164397
0.29656635,0.97817278,0.02182722
0.29782298,0.97798879,0.02201121
0.29907962,0.97780404,0.02219596
0.30033626,0.97761853,0.02238147
0.30159289,0.97743227,0.02256773
0.30284953,0.97724526,0.02275474
0.30410617,0.97705749,0.02294251
0.30536281,0.97686897,0.02313103
