wavelength_nm,normalized_power
1507.25,0.00356266
1507.275,0.00358525
1507.3,0.00360798
1507.325,0.00363083
1507.35,0.00365382
1507.375,0.00367694
1507.4,0.00370019
1507.425,0.00372358
1507.45,0.00374709
1507.475,0.00377075
1507.5,0.00379453
1507.525,0.00381846
1507.55,0.00384252
1507.575,0.00386672
1507.6,0.00389105
1507.625,0.00391553
1507.65,0.00394014
1507.675,0.0039649
1507.7,0.00398979
1507.725,0.00401483
1507.75,0.00404001
1507.775,0.00406533
1507.8,0.0040908
1507.825,0.0041164
1507.85,0.00414216
1507.875,0.00416806
1507.9,0.00419411
1507.925,0.0042203
1507.95,0.00424664
1507.975,0.00427313
1508.0,0.00429977
1508.025,0.00432656
1508.05,0.0043535
1508.075,0.00438059
1508.1,0.00440784
1508.125,0.00443524
1508.15,0.00446279
1508.175,0.00449049
1508.2,0.00451835
1508.225,0.00454637
1508.25,0.00457454
1508.275,0.00460288
1508.3,0.00463137
1508.325,0.00466001
1508.35,0.00468882
1508.375,0.00471779
1508.4,0.00474692
1508.425,0.00477622
1508.45,0.00480567
1508.475,0.00483529
1508.5,0.00486508
1508.525,0.00489503
1508.55,0.00492514
1508.575,0.00495543
1508.6,0.00498588
1508.625,0.0050165
1508.65,0.00504728
1508.675,0.00507824
1508.7,0.00510937
1508.725,0.00514067
1508.75,0.00517215
1508.775,0.0052038
1508.8,0.00523562
1508.825,0.00526762
1508.85,0.00529979
1508.875,0.00533214
1508.9,0.00536467
1508.925,0.00539737
1508.95,0.00543026
1508.975,0.00546332
1509.0,0.00549657
1509.025,0.00553
1509.05,0.00556361
1509.075,0.0055974
1509.1,0.00563138
1509.125,0.00566555
1509.15,0.0056999
1509.175,0.00573443
1509.2,0.00576916
1509.225,0.00580407
1509.25,0.00583918
1509.275,0.00587447
1509.3,0.00590996
1509.325,0.00594564
1509.35,0.00598151
1509.375,0.00601757
1509.4,0.00605384
1509.425,0.00609029
1509.45,0.00612695
1509.475,0.0061638
1509.5,0.00620085
1509.525,0.0062381
1509.55,0.00627555
1509.575,0.0063132
1509.6,0.00635106
1509.625,0.00638911
1509.65,0.00642738
1509.675,0.00646584
1509.7,0.00650452
1509.725,0.0065434
1509.75,0.00658249
1509.775,0.00662178
1509.8,0.00666129
1509.825,0.00670101
1509.85,0.00674094
1509.875,0.00678108
1509.9,0.00682144
1509.925,0.00686201
1509.95,0.0069028
1509.975,0.00694381
1510.0,0.00698503
1510.025,0.00702647
1510.05,0.00706813
1510.075,0.00711001
1510.1,0.00715211
1510.125,0.00719444
1510.15,0.00723699
1510.175,0.00727976
1510.2,0.00732276
1510.225,0.00736599
1510.25,0.00740945
1510.275,0.00745313
1510.3,0.00749704
1510.325,0.00754119
1510.35,0.00758556
1510.375,0.00763017
1510.4,0.00767501
1510.425,0.00772009
1510.45,0.00776541
1510.475,0.00781096
1510.5,0.00785675
1510.525,0.00790277
1510.55,0.00794904
1510.575,0.00799555
1510.6,0.0080423
1510.625,0.0080893
1510.65,0.00813654
1510.675,0.00818403
1510.7,0.00823176
1510.725,0.00827974
1510.75,0.00832797
1510.775,0.00837645
1510.8,0.00842518
1510.825,0.00847416
1510.85,0.0085234
1510.875,0.00857289
1510.9,0.00862263
1510.925,0.00867263
1510.95,0.00872289
1510.975,0.00877341
1511.0,0.00882419
1511.025,0.00887523
1511.05,0.00892653
1511.075,0.0089781
1511.1,0.00902993
1511.125,0.00908202
1511.15,0.00913438
1511.175,0.00918701
1511.2,0.00923991
1511.225,0.00929308
1511.25,0.00934652
1511.275,0.00940023
1511.3,0.00945422
1511.325,0.00950848
1511.35,0.00956302
1511.375,0.00961783
1511.4,0.00967293
1511.425,0.0097283
1511.45,0.00978396
1511.475,0.00983989
1511.5,0.00989611
1511.525,0.00995261
1511.55,0.0100094
1511.575,0.01006648
1511.6,0.01012384
1511.625,0.01018149
1511.65,0.01023944
1511.675,0.01029767
1511.7,0.0103562
1511.725,0.01041502
1511.75,0.01047414
1511.775,0.01053356
1511.8,0.01059327
1511.825,0.01065328
1511.85,0.01071359
1511.875,0.0107742
1511.9,0.01083512
1511.925,0.01089634
1511.95,0.01095786
1511.975,0.0110197
1512.0,0.01108184
1512.025,0.01114429
1512.05,0.01120705
1512.075,0.01127012
1512.1,0.0113335
1512.125,0.0113972
1512.15,0.01146121
1512.175,0.01152555
1512.2,0.0115902
1512.225,0.01165516
1512.25,0.01172045
1512.275,0.01178607
1512.3,0.011852
1512.325,0.01191826
1512.35,0.01198485
1512.375,0.01205176
1512.4,0.012119
1512.425,0.01218658
1512.45,0.01225448
1512.475,0.01232272
1512.5,0.01239129
1512.525,0.0124602
1512.55,0.01252944
1512.575,0.01259902
1512.6,0.01266894
1512.625,0.01273921
1512.65,0.01280981
1512.675,0.01288076
1512.7,0.01295205
1512.725,0.01302369
1512.75,0.01309568
1512.775,0.01316801
1512.8,0.0132407
1512.825,0.01331374
1512.85,0.01338713
1512.875,0.01346088
1512.9,0.01353499
1512.925,0.01360945
1512.95,0.01368427
1512.975,0.01375945
1513.0,0.01383499
1513.025,0.0139109
1513.05,0.01398717
1513.075,0.0140638
1513.1,0.01414081
1513.125,0.01421818
1513.15,0.01429593
1513.175,0.01437404
1513.2,0.01445253
1513.225,0.0145314
1513.25,0.01461064
1513.275,0.01469025
1513.3,0.01477025
1513.325,0.01485063
1513.35,0.01493139
1513.375,0.01501253
1513.4,0.01509406
1513.425,0.01517598
1513.45,0.01525828
1513.475,0.01534098
1513.5,0.01542406
1513.525,0.01550754
1513.55,0.01559141
1513.575,0.01567568
1513.6,0.01576034
1513.625,0.0158454
1513.65,0.01593087
1513.675,0.01601673
1513.7,0.016103
1513.725,0.01618967
1513.75,0.01627675
1513.775,0.01636424
1513.8,0.01645214
1513.825,0.01654044
1513.85,0.01662916
1513.875,0.0167183
1513.9,0.01680785
1513.925,0.01689781
